ground_data_tree_id,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin
7546,46942e98-9381-465d-a8d4-d94801673228,7546,litu,556.0,465480.838883994,0.6461860537528992,34.7691011,50.69999999878928,747490.8,4308780.2,747489.5,4308775.2,747496.0,4308783.0,A,main,5,5
5471,01d88fdd-0191-4309-937c-4857ffa27172,5471,tiam,460.0,719516.124408409,0.6452862620353699,37.6220009,119.70000000024449,747449.2,4308788.8,747445.7,4308780.4,747457.1,4308790.9,A,M,5,5
2955,cf470888-db30-4a56-a33e-1cdcf807c759,2955,fagr,62.0,3153.17837687232,0.6449151039123535,32.5579999,27.560000000623987,747408.7,4308767.9,747404.9,4308765.0,747410.2,4308770.2,A,main,4,4
3901,f229a503-fbef-49b9-8487-a493bdd1eb99,3901,nysy,464.0,417330.390647677,0.644020140171051,31.3899994,37.80000000447035,747425.9,4308714.3,747424.8,4308714.1,747430.8,4308720.4,A,main,5,5
31264,9af3f36b-050a-46a6-8f1b-540bb797eddb,43757,libe,18.0,282.19884576664504,0.6438238024711609,28.7863997,10.84999999991851,747565.7,4308549.9,747563.8,4308549.9,747566.9,4308553.4,A,F;M,2,2
22579,1a00ade2-3bf7-4367-b74f-b9e582b79d2c,22579,fram,123.0,14507.9982419076,0.6437147855758667,22.1904006,25.499999999883585,747687.0,4308548.6,747684.6,4308543.6,747689.7,4308548.6,A,L,4,4
1404,72b5bf65-55a7-4fc2-b6d9-f1b12ba78fc0,1404,cagl,247.0,73909.8467814195,0.6436431407928467,30.0422008,83.7000000004191,747386.9,4308643.9,747382.2,4308636.4,747391.5,4308645.4,A,main,5,5
30496,288f8d3e-1fb5-460d-94fb-100497943df9,30496,litu,459.0,296688.6178034,0.6423166990280151,34.2650005,57.59999999962747,747768.0,4308953.9,747761.5,4308945.9,747768.7,4308953.9,A,main,5,5
23457,3d880c88-6ae7-40ce-914a-d0c1369506a3,23457,nysy,74.0,4404.90613255015,0.6421252489089966,29.3001,21.15000000083819,747694.9,4308838.5,747690.9,4308834.2,747695.4,4308838.9,A,main,4,4
20304,c0aee13c-2b94-464d-bb8a-7ceb90c391e7,20304,qupr,459.0,250121.186383074,0.6409239768981934,26.1014998,36.5999999998603,747652.0,4308978.2,747650.9,4308972.5,747657.0,4308978.5,A,M,5,5
23011,9af9057a-b5af-40f7-8795-4f7718256547,23011,litu,687.0,765160.640581385,0.6406674385070801,34.5835003,69.60000000149012,747693.5,4308610.2,747691.9,4308608.8,747699.9,4308617.5,A,I,5,5
30021,8b80b02b-dd65-4821-ac08-84239d18f7a8,30021,litu,724.0,865510.076380754,0.6406190395355225,40.0065003,114.2400000026822,747770.7,4308699.8,747765.1,4308695.5,747775.3,4308706.7,A,M,5,5
21756,813aa725-f890-4d41-84bf-4c024c5d49e5,21756,qual,345.0,134004.037825049,0.6404179334640503,28.9265995,65.99999999860302,747675.3,4308832.9,747670.9,4308825.9,747678.4,4308834.7,A,main,5,5
10410,4d4790c5-f058-4fa2-b45d-56aca938a9bf,10410,quve,454.0,244325.136098221,0.6401224732398987,28.6219996,34.80000000447035,747548.1,4308572.2,747544.0,4308572.1,747550.0,4308577.9,A,F,5,5
30709,608a2251-4637-4c77-b40e-35992b142fa8,30709,cagl,450.0,290976.801114717,0.6396946310997009,35.6546989,74.62000000150408,747758.4,4308945.9,747749.3,4308940.2,747758.4,4308948.4,A,main,5,5
14714,dd8f6265-8f70-46c9-abd2-8d285d3389ef,14714,astr,92.0,7572.59824672339,0.6393212080001831,28.2560006,22.53999999828171,747582.8,4308821.2,747580.2,4308819.2,747585.1,4308823.8,A,J,4,4
11055,4a6b1658-b023-46b8-b16b-41f2ce40ef32,11055,litu,680.0,746970.943561337,0.6392080187797546,38.2317995,91.18000000197674,747552.7,4308682.8,747546.4,4308678.3,747555.8,4308688.0,A,F,5,5
5484,c74632d4-bba6-4923-9e5c-6eec3ece3a85,5484,caca,154.0,27454.947380883365,0.6387441754341125,22.1380001,46.229999995934776,747446.8,4308825.0,747443.3,4308821.4,747450.0,4308828.3,A,A;M,5,5
1789,6154299e-02d9-422c-b9df-5fdcb50de83d,38585,havi,29.0,459.000264097744,0.6385900974273682,28.8870002,12.950000000651926,747394.8,4308900.8,747393.8,4308897.3,747397.3,4308901.0,A,M,3,3
5675,01fa7315-fe34-4a76-9e38-a6f2f03abe93,5675,nysy,125.0,16157.3949319873,0.6385435461997986,30.2700994,27.93000000104541,747449.5,4308946.6,747447.5,4308942.3,747452.4,4308948.0,A,main,4,4
19994,7a7954cc-c5d5-47d8-8f88-81d253852ed6,19994,nysy,71.0,3975.38392539689,0.6380655765533447,31.3835996,25.99999999976717,747656.7,4308851.8,747654.9,4308847.2,747660.1,4308852.2,A,main,4,4
23448,29e526c9-cec3-406a-8727-efd8427448c6,23448,fram,524.0,399340.048698398,0.6379108428955078,18.6674,65.60999999679392,747686.4,4308904.3,747684.6,4308901.9,747692.7,4308910.0,A,main,5,5
8067,f2443089-d185-4bcd-83d4-f6ee263e2db0,8067,amar,97.0,8568.18224990577,0.6366245746612549,31.2069995,25.799999998882413,747505.9,4308539.9,747501.2,4308539.7,747507.2,4308544.0,A,main,4,4
28278,c1494552-d776-42f1-99b1-413ced01c73b,28278,tiam,625.0,838381.3318073092,0.6354041695594788,36.1005014,58.51999999766238,747753.6,4308718.2,747750.6,4308715.9,747758.3,4308723.5,A,M,5,5
10930,84f054e0-bcf0-4b91-bde9-30e26bd46476,10930,cagl,74.0,4707.92318753526,0.6352788805961609,27.9855005,23.40000000083819,747546.2,4308799.2,747545.8,4308798.3,747550.3,4308803.5,A,M,4,4
7406,9e875e59-2965-4a31-b2de-a5112a692920,7406,qual,255.0,69224.9045786074,0.6351678371429443,35.6782003,117.4199999981164,747481.8,4308710.2,747470.6,4308710.0,747482.0,4308720.3,A,main,5,5
8217,0e0d6dbb-005b-4e93-9e79-26d15bbe715d,8217,qupr,332.0,123235.848806129,0.6348985433578491,35.1513015,100.79999999975551,747506.7,4308666.9,747500.3,4308656.9,747509.9,4308667.4,A,F,5,5
